,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
25,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Richmond', 'id': 'afaa40c1-2e11-4a9b-9a33-ff0603e3e312', 'name': 'Richmond'}",US,,,,b5a31e9b-1fa2-45f9-91f5-b3a25fb38038,,,,{'begin': '2000'},Municipal Waste,Municipal Waste,Group
26,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'New York', 'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'name': 'New York'}",US,,"{'sort-name': 'New York', 'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'name': 'New York'}",,96c1edac-1011-4cb8-882c-27248de35071,,,['0000000106681722'],"{'ended': 'true', 'begin': '1976', 'end': '2009'}",The Cramps,"Cramps, The",Group
27,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}",,GB,,,,370bd5a3-4abf-4356-8576-3a8fc0c11d65,,,,{'begin': '2000'},Above & Beyond,Above & Beyond,Group
28,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Eugene', 'id': 'e0343b8e-1eff-47ee-a64f-2e3df0d8e8e8', 'name': 'Eugene'}",US,,,Male,1a120ec5-35b3-4f3e-aa49-7201550d9feb,,,['0000000114722985'],{'begin': '1976-05-27'},RJD2,RJD2,Person
29,"{'sort-name': 'California', 'iso-3166-2-code-list': ['US-CA'], 'id': 'ae0110b6-13d4-4998-9116-5b926287aa23', 'name': 'California'}","{'sort-name': 'Los Angeles', 'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'name': 'Los Angeles'}",,American rock band,,,2819834e-4e08-47b0-a2c4-b7672318e8f0,,,['0000000115236911'],"{'ended': 'true', 'begin': '1964', 'end': '1973'}",The Byrds,"Byrds, The",Group
30,"{'sort-name': 'France', 'id': '08310658-51eb-3801-80de-5a0739207115', 'name': 'France', 'iso-3166-1-code-list': ['FR']}",,FR,"French artist, real name: Hervé Despesse",,Male,ffb2d3e3-a4cc-48cf-8fb0-f2f846e9d7b9,,,,{'begin': '1957-03-31'},Kent,Kent,Person
31,"{'sort-name': 'Canada', 'id': '71bbafaa-e825-3e15-8ca9-017dcad1748b', 'name': 'Canada', 'iso-3166-1-code-list': ['CA']}","{'sort-name': 'Portage la Prairie', 'id': '44fa03ce-f27d-4816-9d10-4639fb47978b', 'name': 'Portage la Prairie'}",CA,,,,cc546218-cc08-4ae9-9592-ac1596c1470d,,,,{'begin': '1986'},Propagandhi,Propagandhi,Group
32,"{'sort-name': 'Sweden', 'id': '23d10872-f5ae-3f0c-bf55-332788a16ecb', 'name': 'Sweden', 'iso-3166-1-code-list': ['SE']}","{'sort-name': 'T\xc3\xa4by', 'id': '6392a8ed-f871-433b-a877-122ea8a71059', 'name': 'T\xc3\xa4by'}",SE,,,Male,35dac7d2-0b1f-470f-9a5a-c53c8821f6d6,00296891599,['00296891599'],,{'begin': '1976-07-19'},Eric Prydz,"Prydz, Eric",Person
33,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Philadelphia', 'id': '0eeb01c2-6e31-46ad-96b8-319749f731d2', 'name': 'Philadelphia'}",US,seminal hip hop group,,,80b3cf5e-18fe-4c59-98c7-e5bb87210710,,,,{'begin': '1987'},The Roots,"Roots, The",Group
34,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'London', 'id': 'f03d09b3-39dc-4083-afd6-159e3f0d462f', 'name': 'London'}",GB,,,,78ea5ea1-3c4d-4b7e-ac5d-68900319ebe2,,,['000000012284590X'],"{'ended': 'true', 'begin': '1976-09', 'end': '1996-04'}",Siouxsie and the Banshees,Siouxsie and the Banshees,Group
